"Medal_Type","Medal_Date","Full_Name","Sports","Event","Country","Code","Gender","Height","Weight","Birth_Date"
"Silver Medal",2024-07-28,"Federico Nilo MALDINI","Shooting","10m Air Pistol Men","Italy",1551388,"Male",0,0,2001-03-28
"Bronze Medal",2024-07-28,"Paolo MONNA","Shooting","10m Air Pistol Men","Italy",1551387,"Male",0,0,1998-04-19
"Gold Medal",2024-07-28,"OH Ye Jin","Shooting","10m Air Pistol Women","Korea",1893972,"Female",0,0,2005-05-10
"Silver Medal",2024-07-28,"KIM Yeji","Shooting","10m Air Pistol Women","Korea",1893930,"Female",0,0,1992-09-04
"Bronze Medal",2024-07-28,"Manu BHAKER","Shooting","10m Air Pistol Women","India",1538159,"Female",0,0,2002-02-18
"Gold Medal",2024-07-28,"YOSHIZAWA Coco","Skateboarding","Women's Street","Japan",1902055,"Female",0,0,2009-09-22
"Silver Medal",2024-07-28,"AKAMA Liz","Skateboarding","Women's Street","Japan",1902069,"Female",0,0,2009-01-08
"Bronze Medal",2024-07-28,"Rayssa LEAL","Skateboarding","Women's Street","Brazil",1955689,"Female",0,0,2008-01-04
"Gold Medal",2024-07-28,"Nicolo MARTINENGHI","Swimming","Men's 100m Breaststroke","Italy",1925633,"Male",0,0,1999-08-01
"Silver Medal",2024-07-28,"Adam PEATY","Swimming","Men's 100m Breaststroke","Great Britain",1956469,"Male",0,0,1994-12-28
"Silver Medal",2024-07-28,"Nic FINK","Swimming","Men's 100m Breaststroke","United States",1935901,"Male",0,0,1993-07-03
"Gold Medal",2024-07-28,"Leon MARCHAND","Swimming","Men's 400m Individual Medley","France",1909294,"Male",0,0,2002-05-17
"Silver Medal",2024-07-28,"MATSUSHITA Tomoyuki","Swimming","Men's 400m Individual Medley","Japan",1963635,"Male",0,0,2005-08-01
"Bronze Medal",2024-07-28,"Carson FOSTER","Swimming","Men's 400m Individual Medley","United States",1935903,"Male",0,0,2001-10-26
"Gold Medal",2024-07-28,"Torri HUSKE","Swimming","Women's 100m Butterfly","United States",1935923,"Female",0,0,2002-12-07
"Silver Medal",2024-07-28,"Gretchen WALSH","Swimming","Women's 100m Butterfly","United States",1935998,"Female",0,0,2003-01-29
"Bronze Medal",2024-07-28,"ZHANG Yufei","Swimming","Women's 100m Butterfly","China",1945125,"Female",0,0,1998-04-19
"Gold Medal",2024-07-29,"Nicolas GESTIN","Canoe Slalom","Men's Canoe Single","France",1880479,"Male",0,0,2000-03-14
"Silver Medal",2024-07-29,"Adam BURGESS","Canoe Slalom","Men's Canoe Single","Great Britain",1896030,"Male",0,0,1992-07-17
"Bronze Medal",2024-07-29,"Matej BENUS","Canoe Slalom","Men's Canoe Single","Slovakia",1961080,"Male",0,0,1987-11-02
"Silver Medal",2024-07-29,"Victor KORETZKY","Cycling Mountain Bike","Men's Cross-country","France",1895687,"Male",0,0,1994-08-26
"Bronze Medal",2024-07-29,"Alan HATHERLY","Cycling Mountain Bike","Men's Cross-country","South Africa",1943604,"Male",0,0,1996-03-15
"Gold Medal",2024-07-29,"Michael JUNG","Equestrian","Eventing Individual","Germany",1914921,"Male",0,0,1982-07-31
"Silver Medal",2024-07-29,"Christopher BURTON","Equestrian","Eventing Individual","Australia",1940438,"Male",0,0,1981-11-22
"Bronze Medal",2024-07-29,"Laura COLLETT","Equestrian","Eventing Individual","Great Britain",1970898,"Female",0,0,1989-08-31
"Gold Medal",2024-07-29,"CHEUNG Ka Long","Fencing","Men's Foil Individual","Hong Kong, China",1963245,"Male",0,0,1997-06-10
"Silver Medal",2024-07-29,"Filippo MACCHI","Fencing","Men's Foil Individual","Italy",1924289,"Male",0,0,2001-09-19
"Bronze Medal",2024-07-29,"Nick ITKIN","Fencing","Men's Foil Individual","United States",1950602,"Male",0,0,1999-10-09
"Gold Medal",2024-07-29,"Manon APITHY-BRUNET","Fencing","Women's Sabre Individual","France",1916223,"Female",0,0,1996-02-07
"Silver Medal",2024-07-29,"Sara BALZER","Fencing","Women's Sabre Individual","France",1916222,"Female",0,0,1995-04-03
"Bronze Medal",2024-07-29,"Olga KHARLAN","Fencing","Women's Sabre Individual","Ukraine",1897644,"Female",0,0,1990-09-04
"Gold Medal",2024-07-29,"Hidayat HEYDAROV","Judo","Men -73 kg","Azerbaijan",1972337,"Male",0,0,1997-07-27
"Silver Medal",2024-07-29,"Joan-Benjamin GABA","Judo","Men -73 kg","France",1891311,"Male",0,0,2001-01-07
"Bronze Medal",2024-07-29,"Adil OSMANOV","Judo","Men -73 kg","Republic of Moldova",1563437,"Male",0,0,2000-07-02
"Bronze Medal",2024-07-29,"HASHIMOTO Soichi","Judo","Men -73 kg","Japan",1896740,"Male",0,0,1991-08-24
"Gold Medal",2024-07-29,"Christa DEGUCHI","Judo","Women -57 kg","Canada",1955526,"Female",0,0,1995-10-29
"Silver Medal",2024-07-29,"HUH Mimi","Judo","Women -57 kg","Korea",1928067,"Female",0,0,2002-12-19
"Bronze Medal",2024-07-29,"FUNAKUBO Haruka","Judo","Women -57 kg","Japan",1896733,"Female",0,0,1998-10-10
"Bronze Medal",2024-07-29,"Sarah Leonie CYSIQUE","Judo","Women -57 kg","France",1891286,"Female",0,0,1998-07-06
"Gold Medal",2024-07-29,"SHENG Lihao","Shooting","10m Air Rifle Men","China",1913899,"Male",0,0,2004-12-04
"Silver Medal",2024-07-29,"Victor LINDGREN","Shooting","10m Air Rifle Men","Sweden",1572919,"Male",0,0,2003-05-16
"Bronze Medal",2024-07-29,"Miran MARICIC","Shooting","10m Air Rifle Men","Croatia",1888047,"Male",0,0,1997-06-17
"Gold Medal",2024-07-29,"BAN Hyojin","Shooting","10m Air Rifle Women","Korea",1893845,"Female",0,0,2007-09-20
"Silver Medal",2024-07-29,"HUANG Yuting","Shooting","10m Air Rifle Women","China",1913945,"Female",0,0,2006-09-03
"Bronze Medal",2024-07-29,"Audrey GOGNIAT","Shooting","10m Air Rifle Women","Switzerland",1976545,"Female",0,0,2002-10-30
"Gold Medal",2024-07-29,"HORIGOME Yuto","Skateboarding","Men's Street","Japan",1902081,"Male",0,0,1999-01-07
"Silver Medal",2024-07-29,"Jagger EATON","Skateboarding","Men's Street","United States",1944226,"Male",0,0,2001-02-21
"Bronze Medal",2024-07-29,"Nyjah HUSTON","Skateboarding","Men's Street","United States",1944232,"Male",0,0,1994-11-30
"Gold Medal",2024-07-29,"Thomas CECCON","Swimming","Men's 100m Backstroke","Italy",1925635,"Male",0,0,2001-01-27
"Silver Medal",2024-07-29,"XU Jiayu","Swimming","Men's 100m Backstroke","China",1945132,"Male",0,0,1995-08-19
"Bronze Medal",2024-07-29,"Ryan MURPHY","Swimming","Men's 100m Backstroke","United States",1935957,"Male",0,0,1995-07-02
"Gold Medal",2024-07-29,"David POPOVICI","Swimming","Men's 200m Freestyle","Romania",1543549,"Male",0,0,2004-09-15
"Silver Medal",2024-07-29,"Matthew RICHARDS","Swimming","Men's 200m Freestyle","Great Britain",1903617,"Male",0,0,2002-12-17
"Bronze Medal",2024-07-29,"Luke HOBSON","Swimming","Men's 200m Freestyle","United States",1935918,"Male",0,0,2003-06-25
"Gold Medal",2024-07-29,"Tatjana SMITH","Swimming","Women's 100m Breaststroke","South Africa",1962589,"Female",0,0,1997-07-09
"Silver Medal",2024-07-29,"TANG Qianting","Swimming","Women's 100m Breaststroke","China",1945200,"Female",0,0,2004-03-14
"Bronze Medal",2024-07-29,"Mona Mc SHARRY","Swimming","Women's 100m Breaststroke","Ireland",1543304,"Female",0,0,2000-08-21
"Gold Medal",2024-07-29,"Mollie O'CALLAGHAN","Swimming","Women's 200m Freestyle","Australia",1946218,"Female",0,0,2004-04-02
"Silver Medal",2024-07-29,"Ariarne TITMUS","Swimming","Women's 200m Freestyle","Australia",1946150,"Female",0,0,2000-09-07
"Bronze Medal",2024-07-29,"HAUGHEY Siobhan Bernadette","Swimming","Women's 200m Freestyle","Hong Kong, China",1925125,"Female",0,0,1997-10-31
"Gold Medal",2024-07-29,"Summer McINTOSH","Swimming","Women's 400m Individual Medley","Canada",1967140,"Female",0,0,2006-08-18
"Bronze Medal",2024-07-29,"Emma WEYANT","Swimming","Women's 400m Individual Medley","United States",1936001,"Female",0,0,2001-12-24
"Gold Medal",2024-07-30,"NAGASE Takanori","Judo","Men -81 kg","Japan",1896765,"Male",0,0,1993-10-14
"Silver Medal",2024-07-30,"Tato GRIGALASHVILI","Judo","Men -81 kg","Georgia",1546651,"Male",0,0,1999-12-01
"Bronze Medal",2024-07-30,"LEE Joonhwan","Judo","Men -81 kg","Korea",1928079,"Male",0,0,2002-06-19
"Bronze Medal",2024-07-30,"Somon MAKHMADBEKOV","Judo","Men -81 kg","Tajikistan",1570561,"Male",0,0,1999-03-24
"Gold Medal",2024-07-30,"Andreja LESKI","Judo","Women -63 kg","Slovenia",1980833,"Female",0,0,1997-01-08
"Silver Medal",2024-07-30,"Prisca AWITI ALCARAZ","Judo","Women -63 kg","Mexico",1537287,"Female",0,0,1996-02-20
"Bronze Medal",2024-07-30,"Clarisse AGBEGNENOU","Judo","Women -63 kg","France",1891289,"Female",0,0,1992-10-25
"Bronze Medal",2024-07-30,"Laura FAZLIU","Judo","Women -63 kg","Kosovo",1550167,"Female",0,0,2000-09-28
"Gold Medal",2024-07-30,"Nathan HALES","Shooting","Trap Men","Great Britain",1904430,"Male",0,0,1996-06-16
"Silver Medal",2024-07-30,"QI Ying","Shooting","Trap Men","China",1913928,"Male",0,0,1997-01-23
"Bronze Medal",2024-07-30,"Jean Pierre BROL CARDENAS","Shooting","Trap Men","Guatemala",1958970,"Male",0,0,1982-12-18
"Silver Medal",2024-07-30,"Bobby FINKE","Swimming","Men's 800m Freestyle","United States",1935902,"Male",0,0,1999-11-06
"Gold Medal",2024-07-30,"Kaylee McKEOWN","Swimming","Women's 100m Backstroke","Australia",1946198,"Female",0,0,2001-07-12
"Silver Medal",2024-07-30,"Regan SMITH","Swimming","Women's 100m Backstroke","United States",1935984,"Female",0,0,2002-02-09
"Bronze Medal",2024-07-30,"Katharine BERKOFF","Swimming","Women's 100m Backstroke","United States",1935873,"Female",0,0,2001-01-28
"Gold Medal",2024-07-31,"OKA Shinnosuke","Artistic Gymnastics","Men's All-Around","Japan",1919480,"Male",0,0,2003-10-31
"Silver Medal",2024-07-31,"ZHANG Boheng","Artistic Gymnastics","Men's All-Around","China",1918864,"Male",0,0,2000-03-04
"Bronze Medal",2024-07-31,"XIAO Ruoteng","Artistic Gymnastics","Men's All-Around","China",1918860,"Male",0,0,1996-01-30
"Gold Medal",2024-07-31,"Jessica FOX","Canoe Slalom","Women's Canoe Single","Australia",1940205,"Female",0,0,1994-06-11
"Silver Medal",2024-07-31,"Elena LILIK","Canoe Slalom","Women's Canoe Single","Germany",1913770,"Female",0,0,1998-09-14
"Bronze Medal",2024-07-31,"Evy LEIBFARTH","Canoe Slalom","Women's Canoe Single","United States",1955132,"Female",0,0,2004-01-26
"Gold Medal",2024-07-31,"Jose TORRES GIL","Cycling BMX Freestyle","Men's Park","Argentina",1916809,"Male",0,0,1995-03-28
"Silver Medal",2024-07-31,"Kieran Darren David REILLY","Cycling BMX Freestyle","Men's Park","Great Britain",1912548,"Male",0,0,2001-07-12
"Bronze Medal",2024-07-31,"Anthony JEANJEAN","Cycling BMX Freestyle","Men's Park","France",1895685,"Male",0,0,1998-05-13
"Gold Medal",2024-07-31,"DENG Yawen","Cycling BMX Freestyle","Women's Park","China",1920569,"Female",0,0,2005-10-17
"Silver Medal",2024-07-31,"Perris BENEGAS","Cycling BMX Freestyle","Women's Park","United States",1955071,"Female",0,0,1995-07-22
"Bronze Medal",2024-07-31,"Natalya DIEHM","Cycling BMX Freestyle","Women's Park","Australia",1940118,"Female",0,0,1997-09-23
"Gold Medal",2024-07-31,"Lasha BEKAURI","Judo","Men -90 kg","Georgia",1548817,"Male",0,0,2000-07-26
"Silver Medal",2024-07-31,"MURAO Sanshiro","Judo","Men -90 kg","Japan",1896750,"Male",0,0,2000-08-28
"Bronze Medal",2024-07-31,"Maxime-Gael NGAYAP HAMBOU","Judo","Men -90 kg","France",1891318,"Male",0,0,2001-06-22
"Bronze Medal",2024-07-31,"Theodoros TSELIDIS","Judo","Men -90 kg","Greece",1961318,"Male",0,0,1996-08-05
"Gold Medal",2024-07-31,"Barbara MATIC","Judo","Women -70 kg","Croatia",1898499,"Female",0,0,1994-12-03
"Silver Medal",2024-07-31,"Miriam BUTKEREIT","Judo","Women -70 kg","Germany",1563082,"Female",0,0,1994-05-08
"Bronze Medal",2024-07-31,"Michaela POLLERES","Judo","Women -70 kg","Austria",1566421,"Female",0,0,1997-07-15
"Bronze Medal",2024-07-31,"Gabriella WILLEMS","Judo","Women -70 kg","Belgium",1903248,"Female",0,0,1997-07-01
"Gold Medal",2024-07-31,"Adriana RUANO OLIVA","Shooting","Trap Women","Guatemala",1958899,"Female",0,0,1995-06-26
"Silver Medal",2024-07-31,"Silvana Maria STANCO","Shooting","Trap Women","Italy",1915317,"Female",0,0,1993-01-06
"Bronze Medal",2024-07-31,"Penny SMITH","Shooting","Trap Women","Australia",1967454,"Female",0,0,1995-04-21
"Gold Medal",2024-07-31,"PAN Zhanle","Swimming","Men's 100m Freestyle","China",1945148,"Male",0,0,2004-08-04
"Silver Medal",2024-07-31,"Kyle CHALMERS","Swimming","Men's 100m Freestyle","Australia",1946200,"Male",0,0,1998-06-25
"Bronze Medal",2024-07-31,"David POPOVICI","Swimming","Men's 100m Freestyle","Romania",1543549,"Male",0,0,2004-09-15
"Gold Medal",2024-07-31,"Leon MARCHAND","Swimming","Men's 200m Breaststroke","France",1909294,"Male",0,0,2002-05-17
"Silver Medal",2024-07-31,"Zac STUBBLETY-COOK","Swimming","Men's 200m Breaststroke","Australia",1946185,"Male",0,0,1999-01-04
"Bronze Medal",2024-07-31,"Caspar CORBEAU","Swimming","Men's 200m Breaststroke","Netherlands",1972545,"Male",0,0,2001-04-03
"Gold Medal",2024-07-31,"Leon MARCHAND","Swimming","Men's 200m Butterfly","France",1909294,"Male",0,0,2002-05-17
"Silver Medal",2024-07-31,"Kristof MILAK","Swimming","Men's 200m Butterfly","Hungary",1905860,"Male",0,0,2000-02-20
"Bronze Medal",2024-07-31,"Ilya KHARUN","Swimming","Men's 200m Butterfly","Canada",1967058,"Male",0,0,2005-02-07
"Gold Medal",2024-07-31,"Sarah SJOESTROEM","Swimming","Women's 100m Freestyle","Sweden",1572557,"Female",0,0,1993-08-17
"Silver Medal",2024-07-31,"Torri HUSKE","Swimming","Women's 100m Freestyle","United States",1935923,"Female",0,0,2002-12-07
"Bronze Medal",2024-07-31,"HAUGHEY Siobhan Bernadette","Swimming","Women's 100m Freestyle","Hong Kong, China",1925125,"Female",0,0,1997-10-31
"Gold Medal",2024-07-31,"Katie LEDECKY","Swimming","Women's 1500m Freestyle","United States",1935938,"Female",0,0,1997-03-17
"Silver Medal",2024-07-31,"Anastasiia KIRPICHNIKOVA","Swimming","Women's 1500m Freestyle","France",1909209,"Female",0,0,2000-06-24
"Bronze Medal",2024-07-31,"Isabel GOSE","Swimming","Women's 1500m Freestyle","Germany",1907171,"Female",0,0,2002-05-09
"Gold Medal",2024-07-31,"Alex YEE","Triathlon","Men's Individual","Great Britain",1904251,"Male",0,0,1998-02-18
"Silver Medal",2024-07-31,"Hayden WILDE","Triathlon","Men's Individual","New Zealand",1926549,"Male",0,0,1997-09-01
"Bronze Medal",2024-07-31,"Leo BERGERE","Triathlon","Men's Individual","France",1543967,"Male",0,0,1996-06-28
"Gold Medal",2024-07-31,"Cassandre BEAUGRAND","Triathlon","Women's Individual","France",1543963,"Female",0,0,1997-05-23
"Silver Medal",2024-07-31,"Julie DERRON","Triathlon","Women's Individual","Switzerland",1976489,"Female",0,0,1996-09-10
"Bronze Medal",2024-07-31,"Beth POTTER","Triathlon","Women's Individual","Great Britain",1904244,"Female",0,0,1991-12-27
"Gold Medal",2024-08-01,"Simone BILES","Artistic Gymnastics","Women's All-Around","United States",1959861,"Female",0,0,1997-03-14
"Silver Medal",2024-08-01,"Rebeca ANDRADE","Artistic Gymnastics","Women's All-Around","Brazil",1953634,"Female",0,0,1999-05-08
"Bronze Medal",2024-08-01,"Sunisa LEE","Artistic Gymnastics","Women's All-Around","United States",1959866,"Female",0,0,2003-03-09
"Gold Medal",2024-08-01,"Brian Daniel PINTADO","Athletics","Men's 20km Race Walk","Ecuador",1929767,"Male",167,0,1995-07-29
"Silver Medal",2024-08-01,"Caio BONFIM","Athletics","Men's 20km Race Walk","Brazil",1951928,"Male",174,0,1991-03-19
"Bronze Medal",2024-08-01,"Alvaro MARTIN","Athletics","Men's 20km Race Walk","Spain",1904165,"Male",182,0,1994-06-18
"Gold Medal",2024-08-01,"YANG Jiayu","Athletics","Women's 20km Race Walk","China",1919002,"Female",163,0,1996-02-18
"Silver Medal",2024-08-01,"Maria PEREZ","Athletics","Women's 20km Race Walk","Spain",1905369,"Female",159,0,1996-04-29
"Bronze Medal",2024-08-01,"Jemima MONTAG","Athletics","Women's 20km Race Walk","Australia",1939791,"Female",158,0,1998-02-15
"Gold Medal",2024-08-01,"Giovanni de GENNARO","Canoe Slalom","Men's Kayak Single","Italy",1550975,"Male",0,0,1992-07-21
"Silver Medal",2024-08-01,"Titouan CASTRYCK","Canoe Slalom","Men's Kayak Single","France",1880464,"Male",0,0,2004-08-28
"Bronze Medal",2024-08-01,"Pau ECHANIZ","Canoe Slalom","Men's Kayak Single","Spain",1953935,"Male",0,0,2001-05-29
"Gold Medal",2024-08-01,"Zelym KOTSOIEV","Judo","Men -100 kg","Azerbaijan",1972367,"Male",0,0,1998-08-09
"Silver Medal",2024-08-01,"Ilia SULAMANIDZE","Judo","Men -100 kg","Georgia",1552370,"Male",0,0,2001-06-18
"Bronze Medal",2024-08-01,"Peter PALTCHIK","Judo","Men -100 kg","Israel",1892957,"Male",0,0,1992-01-04
"Bronze Medal",2024-08-01,"Muzaffarbek TUROBOYEV","Judo","Men -100 kg","Uzbekistan",1565754,"Male",0,0,2000-04-05
"Gold Medal",2024-08-01,"Alice BELLANDI","Judo","Women -78 kg","Italy",1925349,"Female",0,0,1998-11-20
"Silver Medal",2024-08-01,"Inbar LANIR","Judo","Women -78 kg","Israel",1892794,"Female",0,0,2000-04-03
"Bronze Medal",2024-08-01,"MA Zhenzhao","Judo","Women -78 kg","China",1891067,"Female",0,0,1998-04-24
"Bronze Medal",2024-08-01,"Patricia SAMPAIO","Judo","Women -78 kg","Portugal",1943504,"Female",0,0,1999-06-30
"Gold Medal",2024-08-01,"LIU Yukun","Shooting","50m Rifle 3 Positions Men","China",1913922,"Male",0,0,1997-04-12
"Silver Medal",2024-08-01,"Serhiy KULISH","Shooting","50m Rifle 3 Positions Men","Ukraine",1555976,"Male",0,0,1993-04-17
"Bronze Medal",2024-08-01,"Swapnil KUSALE","Shooting","50m Rifle 3 Positions Men","India",1538084,"Male",0,0,1995-08-06
"Gold Medal",2024-08-01,"Hubert KOS","Swimming","Men's 200m Backstroke","Hungary",1904977,"Male",0,0,2003-03-28
"Silver Medal",2024-08-01,"Apostolos CHRISTOU","Swimming","Men's 200m Backstroke","Greece",1954557,"Male",0,0,1996-11-01
"Bronze Medal",2024-08-01,"Roman MITYUKOV","Swimming","Men's 200m Backstroke","Switzerland",1977754,"Male",0,0,2000-07-30
"Gold Medal",2024-08-01,"Kate DOUGLASS","Swimming","Women's 200m Breaststroke","United States",1935895,"Female",0,0,2001-11-17
"Silver Medal",2024-08-01,"Tatjana SMITH","Swimming","Women's 200m Breaststroke","South Africa",1962589,"Female",0,0,1997-07-09
"Bronze Medal",2024-08-01,"Tes SCHOUTEN","Swimming","Women's 200m Breaststroke","Netherlands",1972525,"Female",0,0,2000-12-31
"Gold Medal",2024-08-01,"Summer McINTOSH","Swimming","Women's 200m Butterfly","Canada",1967140,"Female",0,0,2006-08-18
"Silver Medal",2024-08-01,"Regan SMITH","Swimming","Women's 200m Butterfly","United States",1935984,"Female",0,0,2002-02-09
"Bronze Medal",2024-08-01,"ZHANG Yufei","Swimming","Women's 200m Butterfly","China",1945125,"Female",0,0,1998-04-19
"Gold Medal",2024-08-02,"Joshua CHEPTEGEI","Athletics","Men's 10,000m","Uganda",1970827,"Male",183,0,1996-09-12
"Silver Medal",2024-08-02,"Berihu AREGAWI","Athletics","Men's 10,000m","Ethiopia",1536998,"Male",171,0,2001-02-28
"Bronze Medal",2024-08-02,"Grant FISHER","Athletics","Men's 10,000m","United States",1960959,"Male",177,0,1997-04-22
"Gold Medal",2024-08-02,"Joris DAUDET","Cycling BMX Racing","Men","France",1895661,"Male",0,0,1991-02-12
"Silver Medal",2024-08-02,"Sylvain ANDRE","Cycling BMX Racing","Men","France",1895640,"Male",0,0,1992-10-14
"Bronze Medal",2024-08-02,"Romain MAHIEU","Cycling BMX Racing","Men","France",1895700,"Male",0,0,1995-02-17
"Gold Medal",2024-08-02,"Saya SAKAKIBARA","Cycling BMX Racing","Women","Australia",1940127,"Female",0,0,1999-08-23
"Silver Medal",2024-08-02,"Manon VEENSTRA","Cycling BMX Racing","Women","Netherlands",1969181,"Female",0,0,1998-07-06
"Bronze Medal",2024-08-02,"Zoe CLAESSENS","Cycling BMX Racing","Women","Switzerland",1976480,"Female",0,0,2001-04-28
"Gold Medal",2024-08-02,"Teddy RINER","Judo","Men +100 kg","France",1891323,"Male",0,0,1989-04-07
"Silver Medal",2024-08-02,"KIM Minjong","Judo","Men +100 kg","Korea",1928072,"Male",0,0,2000-09-01
"Bronze Medal",2024-08-02,"Temur RAKHIMOV","Judo","Men +100 kg","Tajikistan",1567512,"Male",0,0,1997-07-08
"Bronze Medal",2024-08-02,"Alisher YUSUPOV","Judo","Men +100 kg","Uzbekistan",1566931,"Male",0,0,1998-11-27
